video_url,project,reviewer,manual_relevance,manual_noise_type,content_language,audience_language,notes,play_count
https://www.tiktok.com/@.memescreens/video/7624787630131105042,二十四节气,A,不相关,主题无关,英文,混合,抽象视频,5900000
https://www.tiktok.com/@naivepanda/video/7294477077875608863,二十四节气,A,不相关,主题无关,英文,混合,,5000000
https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,二十四节气,A,不相关,主题无关,英文,混合,,38700000
https://www.tiktok.com/@astroospace/video/7336361732098526469,二十四节气,A,不相关,主题无关,英文,混合,,25000000
https://www.tiktok.com/@sg_zerimar1/video/7578639762173480200,二十四节气,A,不相关,主题无关,西班牙语,西班牙语,,13600000
https://www.tiktok.com/@xiakehongchen1/video/7526105955638005006,二十四节气,A,不相关,主题无关,中文,混合,,9600000
https://www.tiktok.com/@pomsterfreestyle/video/7612690924828691732,二十四节气,A,不相关,主题无关,泰语,泰语,,7600000
https://www.tiktok.com/@mongthientruong/video/7453770690328710446,福建木偶戏,A,不相关,主题无关,越南语,越南语,,761500
https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,福建木偶戏,A,相关,,英文,以英文为主,,425900
https://www.tiktok.com/@vamosjuntasmx/video/7521564277711424775,福建木偶戏,A,不相关,主题无关,西班牙语,西班牙语,,85100
https://www.tiktok.com/@holalmar/video/7543242322788519186,福建木偶戏,A,不相关,别国同类,英文,混合,,39500000
https://www.tiktok.com/@amayawickramasinghe/video/7445575459678571794,福建木偶戏,A,不相关,主题无关,英文,以英文为主,,20500000
https://www.tiktok.com/@shuyam612/video/7633812852440059154,福建木偶戏,A,不相关,主题无关,中文,以英文为主,,13500000
https://www.tiktok.com/@zhezhehe/video/7572567790519897364,赫哲族伊玛堪,A,不相关,主题无关,越南语,混合,,3800000
https://www.tiktok.com/@zhezhehe/video/7264511179328867602,赫哲族伊玛堪,A,不相关,主题无关,越南语,混合,,2300000
https://www.tiktok.com/@khoatngutram/video/7450114188862688530,赫哲族伊玛堪,A,不相关,主题无关,越南语,混合,,1200000
https://www.tiktok.com/@naivepanda/video/7298030733258394911,赫哲族伊玛堪,A,不相关,主题无关,中文,以中文为主,,2000000
https://www.tiktok.com/@realbeijinger/video/7550190555490225439,赫哲族伊玛堪,A,不相关,主题无关,中文,以中文为主,,677500
https://www.tiktok.com/@mayilong0/video/7166206744530570497,赫哲族伊玛堪,A,不相关,主题无关,英文,混合,,22000000
https://www.tiktok.com/@user8513083442827/video/7633736301002362119,赫哲族伊玛堪,A,不相关,主题无关,英文,以英文为主,,19900000
https://www.tiktok.com/@makabaka_popcorn/video/7389602651085884702,赫哲族伊玛堪,A,不相关,主题无关,中文,混合,,18200000
https://www.tiktok.com/@kdovvtbgjn3/video/7317611162672041221,赫哲族伊玛堪,A,不相关,主题无关,中文,混合,,11900000
https://www.tiktok.com/@chi_kun82/video/7589061348617768200,赫哲族伊玛堪,A,不相关,主题无关,日语,混合,,11400000
https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,麦西热甫,C,不相关,主题无关,英文,英文为主,,66700000
https://www.tiktok.com/@uyghuryouth/video/7326146340507995424,麦西热甫,C,不相关,主题无关,英文,英文为主,,7600000
https://www.tiktok.com/@gulomjon00771/video/7596650322190142742,麦西热甫,C,不相关,主题无关,无,混合，土耳其语言为主,,4600000
